iter	Passed	Remaining
948	253948	13647
949	254197	13378
950	254593	13117
951	254850	12849
952	255179	12584
953	255448	12317
954	255733	12050
955	256002	11782
956	256295	11515
957	256559	11247
958	256831	10980
959	257105	10712
960	257401	10446
961	257667	10178
962	257917	9909
963	258122	9639
964	258398	9371
965	258677	9104
966	258942	8836
967	259191	8568
968	259471	8300
969	259662	8030
970	259907	7762
971	260203	7495
972	260527	7229
973	260739	6960
974	260998	6692
975	261304	6425
976	261582	6158
977	261828	5889
978	262093	5622
979	262368	5354
980	262664	5087
981	262922	4819
982	263188	4551
983	263474	4284
984	263766	4016
985	264040	3749
986	264377	3482
987	264674	3214
988	264935	2946
989	265265	2679
990	265566	2411
991	265862	2144
992	266125	1876
993	266438	1608
994	266751	1340
995	267062	1072
996	267368	804
997	267665	536
998	267898	268
999	268152	0
